,0,1,2,3,4,5,6,7,8,9
0,Seven Chances (1925),Eraser (1996),Mighty Aphrodite (1995),"Goodbye Girl, The (1977)",Bambi (1942),"Santa Clause, The (1994)",Rain (1932),Beloved/Friend (Amigo/Amado) (1999),Grace of My Heart (1996),Office Space (1999)
1,Seven Chances (1925),Eraser (1996),Mighty Aphrodite (1995),"Goodbye Girl, The (1977)",Bambi (1942),Rain (1932),Beloved/Friend (Amigo/Amado) (1999),Grace of My Heart (1996),Office Space (1999),Slaves to the Underground (1997)
2,Seven Chances (1925),Eraser (1996),Mighty Aphrodite (1995),"Goodbye Girl, The (1977)",Bambi (1942),"Santa Clause, The (1994)",Rain (1932),Beloved/Friend (Amigo/Amado) (1999),Grace of My Heart (1996),Office Space (1999)
3,Seven Chances (1925),Eraser (1996),Mighty Aphrodite (1995),"Goodbye Girl, The (1977)",Bambi (1942),"Santa Clause, The (1994)",Rain (1932),Beloved/Friend (Amigo/Amado) (1999),Grace of My Heart (1996),Office Space (1999)
4,Seven Chances (1925),Eraser (1996),Mighty Aphrodite (1995),"Goodbye Girl, The (1977)",Bambi (1942),Rain (1932),Beloved/Friend (Amigo/Amado) (1999),Grace of My Heart (1996),Office Space (1999),Slaves to the Underground (1997)
5,Seven Chances (1925),Eraser (1996),Mighty Aphrodite (1995),"Goodbye Girl, The (1977)",Bambi (1942),"Santa Clause, The (1994)",Rain (1932),Beloved/Friend (Amigo/Amado) (1999),Grace of My Heart (1996),Office Space (1999)
6,Seven Chances (1925),Eraser (1996),Mighty Aphrodite (1995),"Goodbye Girl, The (1977)",Bambi (1942),"Santa Clause, The (1994)",Rain (1932),Beloved/Friend (Amigo/Amado) (1999),Grace of My Heart (1996),Office Space (1999)
7,Seven Chances (1925),Eraser (1996),Mighty Aphrodite (1995),"Goodbye Girl, The (1977)",Bambi (1942),"Santa Clause, The (1994)",Rain (1932),Beloved/Friend (Amigo/Amado) (1999),Grace of My Heart (1996),Office Space (1999)
8,Seven Chances (1925),Eraser (1996),Mighty Aphrodite (1995),"Goodbye Girl, The (1977)",Bambi (1942),Rain (1932),Beloved/Friend (Amigo/Amado) (1999),Grace of My Heart (1996),Office Space (1999),Slaves to the Underground (1997)
9,Seven Chances (1925),Eraser (1996),Mighty Aphrodite (1995),"Goodbye Girl, The (1977)",Bambi (1942),Rain (1932),Beloved/Friend (Amigo/Amado) (1999),Grace of My Heart (1996),Office Space (1999),Slaves to the Underground (1997)
10,Seven Chances (1925),Eraser (1996),Mighty Aphrodite (1995),"Goodbye Girl, The (1977)",Bambi (1942),Rain (1932),Beloved/Friend (Amigo/Amado) (1999),Grace of My Heart (1996),Office Space (1999),Slaves to the Underground (1997)
