,0,1,2,3,4,5,6,7,8,9
0,Slaves to the Underground (1997),"War Room, The (1993)",Office Space (1999),Seven Chances (1925),Eraser (1996),Clean Slate (Coup de Torchon) (1981),"Goodbye Girl, The (1977)",Reds (1981),Grace of My Heart (1996),Mighty Aphrodite (1995)
1,Slaves to the Underground (1997),"War Room, The (1993)",Office Space (1999),Seven Chances (1925),Eraser (1996),Clean Slate (Coup de Torchon) (1981),"Goodbye Girl, The (1977)",Grace of My Heart (1996),Reds (1981),Mighty Aphrodite (1995)
2,Slaves to the Underground (1997),"War Room, The (1993)",Office Space (1999),Seven Chances (1925),Eraser (1996),Clean Slate (Coup de Torchon) (1981),"Goodbye Girl, The (1977)",Grace of My Heart (1996),Mighty Aphrodite (1995),Reds (1981)
3,Slaves to the Underground (1997),"War Room, The (1993)",Office Space (1999),Seven Chances (1925),Eraser (1996),Clean Slate (Coup de Torchon) (1981),Grace of My Heart (1996),"Goodbye Girl, The (1977)",Reds (1981),Chinese Box (1997)
4,Slaves to the Underground (1997),"War Room, The (1993)",Bambi (1942),Office Space (1999),12 Angry Men (1957),"Man from Down Under, The (1943)","Ballad of Narayama, The (Narayama Bushiko) (1958)",Wings of Desire (Der Himmel über Berlin) (1987),Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),Charade (1963)
5,Slaves to the Underground (1997),"War Room, The (1993)",Office Space (1999),Seven Chances (1925),Eraser (1996),Clean Slate (Coup de Torchon) (1981),"Goodbye Girl, The (1977)",Reds (1981),Grace of My Heart (1996),Mighty Aphrodite (1995)
6,Slaves to the Underground (1997),"War Room, The (1993)",Office Space (1999),Seven Chances (1925),Eraser (1996),Clean Slate (Coup de Torchon) (1981),"Goodbye Girl, The (1977)",Grace of My Heart (1996),Mighty Aphrodite (1995),Reds (1981)
7,Slaves to the Underground (1997),"War Room, The (1993)",Office Space (1999),Bambi (1942),Seven Chances (1925),"Santa Clause, The (1994)","Goodbye Girl, The (1977)",Clean Slate (Coup de Torchon) (1981),Eraser (1996),Mighty Aphrodite (1995)
8,Slaves to the Underground (1997),"War Room, The (1993)",Office Space (1999),Seven Chances (1925),"Goodbye Girl, The (1977)",Clean Slate (Coup de Torchon) (1981),Eraser (1996),Mighty Aphrodite (1995),Grace of My Heart (1996),Bambi (1942)
9,Slaves to the Underground (1997),"War Room, The (1993)",Office Space (1999),Seven Chances (1925),Eraser (1996),Clean Slate (Coup de Torchon) (1981),"Goodbye Girl, The (1977)",Reds (1981),Grace of My Heart (1996),Mighty Aphrodite (1995)
10,Slaves to the Underground (1997),"War Room, The (1993)",Bambi (1942),Office Space (1999),12 Angry Men (1957),"Man from Down Under, The (1943)","Ballad of Narayama, The (Narayama Bushiko) (1958)",Wings of Desire (Der Himmel über Berlin) (1987),"Savage Nights (Nuits fauves, Les) (1992)",Charade (1963)
11,Slaves to the Underground (1997),"War Room, The (1993)",Bambi (1942),Office Space (1999),12 Angry Men (1957),"Man from Down Under, The (1943)","Santa Clause, The (1994)",Wings of Desire (Der Himmel über Berlin) (1987),"Savage Nights (Nuits fauves, Les) (1992)",Charade (1963)
