,0,1,2,3,4,5,6,7,8,9
0,Bambi (1942),"Man from Down Under, The (1943)",Eraser (1996),Enchanted April (1991),Chinese Box (1997),Slaves to the Underground (1997),My Favorite Year (1982),Stand by Me (1986),8 1/2 (1963),I Confess (1953)
1,"Ballad of Ramblin' Jack, The (2000)",Grace of My Heart (1996),Eraser (1996),Chinese Box (1997),"Goodbye Girl, The (1977)",Room at the Top (1959),Slaves to the Underground (1997),Blow-Out (La Grande Bouffe) (1973),"Santa Clause, The (1994)",Seven Chances (1925)
2,"Ballad of Ramblin' Jack, The (2000)",Grace of My Heart (1996),Eraser (1996),"Goodbye Girl, The (1977)",Chinese Box (1997),Room at the Top (1959),"Savage Nights (Nuits fauves, Les) (1992)",Police Story 4: Project S (Chao ji ji hua) (1993),Blow-Out (La Grande Bouffe) (1973),Slaves to the Underground (1997)
3,"Ballad of Ramblin' Jack, The (2000)",Grace of My Heart (1996),Rain (1932),"Goodbye Girl, The (1977)",Eraser (1996),"Santa Clause, The (1994)",Pretty Woman (1990),Chinese Box (1997),Sphere (1998),Vampires (1998)
4,"Ballad of Ramblin' Jack, The (2000)",Grace of My Heart (1996),"Goodbye Girl, The (1977)","Santa Clause, The (1994)",Rain (1932),Eraser (1996),Chinese Box (1997),Pretty Woman (1990),Slaves to the Underground (1997),Vampires (1998)
5,Eraser (1996),Aparajito (1956),Bloodsport 2 (1995),Stand by Me (1986),Chinese Box (1997),Enchanted April (1991),Slaves to the Underground (1997),"Man from Down Under, The (1943)",Bambi (1942),Mighty Aphrodite (1995)
6,Grace of My Heart (1996),"Ballad of Ramblin' Jack, The (2000)",Police Story 4: Project S (Chao ji ji hua) (1993),"Wooden Man's Bride, The (Wu Kui) (1994)",Eraser (1996),"Goodbye Girl, The (1977)",Dead Man Walking (1995),Seven Chances (1925),Chinese Box (1997),Room at the Top (1959)
7,"Ballad of Ramblin' Jack, The (2000)",Grace of My Heart (1996),"Santa Clause, The (1994)",Eraser (1996),"Goodbye Girl, The (1977)",Chinese Box (1997),Room at the Top (1959),"Savage Nights (Nuits fauves, Les) (1992)",Police Story 4: Project S (Chao ji ji hua) (1993),Blow-Out (La Grande Bouffe) (1973)
8,Eraser (1996),Chinese Box (1997),Slaves to the Underground (1997),"Goodbye Girl, The (1977)",Room at the Top (1959),"Ballad of Ramblin' Jack, The (2000)",Blow-Out (La Grande Bouffe) (1973),Bambi (1942),Mighty Aphrodite (1995),Vertigo (1958)
9,"Ballad of Ramblin' Jack, The (2000)",Eraser (1996),Chinese Box (1997),Grace of My Heart (1996),"Goodbye Girl, The (1977)",Slaves to the Underground (1997),Room at the Top (1959),Blow-Out (La Grande Bouffe) (1973),Seven Chances (1925),Bambi (1942)
10,"Ballad of Ramblin' Jack, The (2000)",Grace of My Heart (1996),Eraser (1996),"Goodbye Girl, The (1977)",Chinese Box (1997),Room at the Top (1959),Seven Chances (1925),Blow-Out (La Grande Bouffe) (1973),Police Story 4: Project S (Chao ji ji hua) (1993),"Wooden Man's Bride, The (Wu Kui) (1994)"
11,Eraser (1996),"Goodbye Girl, The (1977)",Rain (1932),Bambi (1942),Chinese Box (1997),"Ballad of Ramblin' Jack, The (2000)",Slaves to the Underground (1997),"Pyromaniac's Love Story, A (1995)",Evil Dead II (Dead By Dawn) (1987),Grace of My Heart (1996)
12,Eraser (1996),Chinese Box (1997),Slaves to the Underground (1997),Bambi (1942),"Goodbye Girl, The (1977)","Man from Down Under, The (1943)",Mighty Aphrodite (1995),Bloodsport 2 (1995),Aparajito (1956),Enchanted April (1991)
13,"Ballad of Ramblin' Jack, The (2000)",Grace of My Heart (1996),Eraser (1996),"Goodbye Girl, The (1977)",Chinese Box (1997),Room at the Top (1959),Police Story 4: Project S (Chao ji ji hua) (1993),Blow-Out (La Grande Bouffe) (1973),Slaves to the Underground (1997),Seven Chances (1925)
14,Eraser (1996),Chinese Box (1997),Slaves to the Underground (1997),Enchanted April (1991),Bambi (1942),"Man from Down Under, The (1943)",Aparajito (1956),Bloodsport 2 (1995),Stand by Me (1986),Mighty Aphrodite (1995)
15,"Ballad of Ramblin' Jack, The (2000)",Grace of My Heart (1996),"Goodbye Girl, The (1977)",Eraser (1996),Rain (1932),Chinese Box (1997),Pretty Woman (1990),Slaves to the Underground (1997),"Cowboy Way, The (1994)",Vampires (1998)
16,"Ballad of Ramblin' Jack, The (2000)",Grace of My Heart (1996),Eraser (1996),"Goodbye Girl, The (1977)",Chinese Box (1997),Room at the Top (1959),Blow-Out (La Grande Bouffe) (1973),Slaves to the Underground (1997),Seven Chances (1925),"Cowboy Way, The (1994)"
17,Eraser (1996),"Goodbye Girl, The (1977)",Rain (1932),Bambi (1942),Someone to Watch Over Me (1987),Chinese Box (1997),Slaves to the Underground (1997),"Ballad of Ramblin' Jack, The (2000)",Music of the Heart (1999),Private Benjamin (1980)
18,Eraser (1996),Chinese Box (1997),"Goodbye Girl, The (1977)","Ballad of Ramblin' Jack, The (2000)",Slaves to the Underground (1997),Grace of My Heart (1996),Room at the Top (1959),Blow-Out (La Grande Bouffe) (1973),Seven Chances (1925),Mighty Aphrodite (1995)
19,"Ballad of Ramblin' Jack, The (2000)",Grace of My Heart (1996),Rain (1932),"Goodbye Girl, The (1977)",Eraser (1996),Sphere (1998),Pretty Woman (1990),Chinese Box (1997),Vampires (1998),Beyond Rangoon (1995)
20,"Goodbye Girl, The (1977)",Eraser (1996),"Santa Clause, The (1994)","Ballad of Ramblin' Jack, The (2000)",Rain (1932),Chinese Box (1997),Grace of My Heart (1996),Someone to Watch Over Me (1987),Bambi (1942),Slaves to the Underground (1997)
21,Someone to Watch Over Me (1987),Music of the Heart (1999),Bambi (1942),House Arrest (1996),Eraser (1996),Rain (1932),Barney's Great Adventure (1998),"Goodbye Girl, The (1977)",My Favorite Year (1982),Slaves to the Underground (1997)
22,Someone to Watch Over Me (1987),Rain (1932),Bambi (1942),Eraser (1996),"Goodbye Girl, The (1977)","Santa Clause, The (1994)",Music of the Heart (1999),Chinese Box (1997),Slaves to the Underground (1997),House Arrest (1996)
23,Eraser (1996),Chinese Box (1997),Slaves to the Underground (1997),"Goodbye Girl, The (1977)",Bambi (1942),"Ballad of Ramblin' Jack, The (2000)",Room at the Top (1959),Blow-Out (La Grande Bouffe) (1973),"Santa Clause, The (1994)",Paris Is Burning (1990)
24,Eraser (1996),"Ballad of Ramblin' Jack, The (2000)",Chinese Box (1997),"Goodbye Girl, The (1977)",Grace of My Heart (1996),Slaves to the Underground (1997),Room at the Top (1959),Blow-Out (La Grande Bouffe) (1973),Seven Chances (1925),Mighty Aphrodite (1995)
25,"Santa Clause, The (1994)","Ballad of Ramblin' Jack, The (2000)","Goodbye Girl, The (1977)",Grace of My Heart (1996),Eraser (1996),Rain (1932),Evil Dead II (Dead By Dawn) (1987),Chinese Box (1997),Vampires (1998),Slaves to the Underground (1997)
26,"Ballad of Ramblin' Jack, The (2000)",Grace of My Heart (1996),Eraser (1996),"Goodbye Girl, The (1977)",Police Story 4: Project S (Chao ji ji hua) (1993),Chinese Box (1997),"Wooden Man's Bride, The (Wu Kui) (1994)","Savage Nights (Nuits fauves, Les) (1992)","Iron Giant, The (1999)",Room at the Top (1959)
27,Eraser (1996),Chinese Box (1997),Slaves to the Underground (1997),"Goodbye Girl, The (1977)",Bambi (1942),Room at the Top (1959),"Ballad of Ramblin' Jack, The (2000)",Vertigo (1958),"Savage Nights (Nuits fauves, Les) (1992)",Blow-Out (La Grande Bouffe) (1973)
28,Eraser (1996),Chinese Box (1997),Slaves to the Underground (1997),"Goodbye Girl, The (1977)",Room at the Top (1959),"Ballad of Ramblin' Jack, The (2000)",Blow-Out (La Grande Bouffe) (1973),Bambi (1942),Mighty Aphrodite (1995),Seven Chances (1925)
29,"Ballad of Ramblin' Jack, The (2000)",Eraser (1996),Grace of My Heart (1996),Chinese Box (1997),"Goodbye Girl, The (1977)",Slaves to the Underground (1997),Room at the Top (1959),"Savage Nights (Nuits fauves, Les) (1992)",Blow-Out (La Grande Bouffe) (1973),Bambi (1942)
30,Eraser (1996),Chinese Box (1997),Slaves to the Underground (1997),"Goodbye Girl, The (1977)",Room at the Top (1959),"Ballad of Ramblin' Jack, The (2000)",Blow-Out (La Grande Bouffe) (1973),Bambi (1942),Mighty Aphrodite (1995),Vertigo (1958)
31,"Ballad of Ramblin' Jack, The (2000)",Grace of My Heart (1996),Eraser (1996),"Goodbye Girl, The (1977)",Chinese Box (1997),Room at the Top (1959),Seven Chances (1925),Blow-Out (La Grande Bouffe) (1973),Police Story 4: Project S (Chao ji ji hua) (1993),"Wooden Man's Bride, The (Wu Kui) (1994)"
32,Eraser (1996),Chinese Box (1997),"Goodbye Girl, The (1977)",Slaves to the Underground (1997),"Ballad of Ramblin' Jack, The (2000)","Santa Clause, The (1994)",Room at the Top (1959),Grace of My Heart (1996),Blow-Out (La Grande Bouffe) (1973),"Savage Nights (Nuits fauves, Les) (1992)"
33,Eraser (1996),Chinese Box (1997),"Goodbye Girl, The (1977)",Slaves to the Underground (1997),"Ballad of Ramblin' Jack, The (2000)",Room at the Top (1959),Grace of My Heart (1996),Blow-Out (La Grande Bouffe) (1973),Bambi (1942),Vertigo (1958)
34,"Ballad of Ramblin' Jack, The (2000)",Grace of My Heart (1996),"Goodbye Girl, The (1977)",Rain (1932),Eraser (1996),Pretty Woman (1990),Chinese Box (1997),"Cowboy Way, The (1994)",Seven Chances (1925),Love Stinks (1999)
35,Eraser (1996),Chinese Box (1997),Slaves to the Underground (1997),"Goodbye Girl, The (1977)","Ballad of Ramblin' Jack, The (2000)",Room at the Top (1959),Blow-Out (La Grande Bouffe) (1973),"Savage Nights (Nuits fauves, Les) (1992)",Mighty Aphrodite (1995),Grace of My Heart (1996)
36,"Ballad of Ramblin' Jack, The (2000)",Eraser (1996),"Santa Clause, The (1994)",Chinese Box (1997),Grace of My Heart (1996),"Goodbye Girl, The (1977)",Slaves to the Underground (1997),Room at the Top (1959),Blow-Out (La Grande Bouffe) (1973),Seven Chances (1925)
