,0,1,2,3,4,5,6,7,8,9
0,"Sixth Sense, The (1999)",Schindler's List (1993),"Close Shave, A (1995)",Saving Private Ryan (1998),My Fair Lady (1964),To Kill a Mockingbird (1962),Apollo 13 (1995),"Christmas Story, A (1983)",Ponette (1996),"Princess Bride, The (1987)"
1,"Shawshank Redemption, The (1994)",Doctor Zhivago (1965),"Green Mile, The (1999)",Saving Private Ryan (1998),To Kill a Mockingbird (1962),"Matrix, The (1999)","Silence of the Lambs, The (1991)",October Sky (1999),"Fugitive, The (1993)",Braveheart (1995)
2,"Silence of the Lambs, The (1991)",Star Wars: Episode IV - A New Hope (1977),Raiders of the Lost Ark (1981),"Princess Bride, The (1987)",Star Wars: Episode V - The Empire Strikes Back (1980),Butch Cassidy and the Sundance Kid (1969),American Beauty (1999),Monty Python and the Holy Grail (1974),Indiana Jones and the Last Crusade (1989),Toy Story 2 (1999)
3,Saving Private Ryan (1998),Raiders of the Lost Ark (1981),Star Wars: Episode IV - A New Hope (1977),Die Hard (1988),E.T. the Extra-Terrestrial (1982),Alien (1979),"Fistful of Dollars, A (1964)","Hustler, The (1961)",Star Wars: Episode V - The Empire Strikes Back (1980),"Good, The Bad and The Ugly, The (1966)"
4,Fargo (1996),"Maltese Falcon, The (1941)",American Beauty (1999),Being John Malkovich (1999),"Shawshank Redemption, The (1994)",North by Northwest (1959),Fight Club (1999),"Usual Suspects, The (1995)","Silence of the Lambs, The (1991)",Election (1999)
5,My Fair Lady (1964),Gladiator (2000),Casablanca (1942),Top Gun (1986),West Side Story (1961),Dances with Wolves (1990),"Sound of Music, The (1965)","Patriot, The (2000)","Little Mermaid, The (1989)",Emma (1996)
6,Saving Private Ryan (1998),"Matrix, The (1999)",Braveheart (1995),"Fugitive, The (1993)",Gladiator (2000),"Hunt for Red October, The (1990)",Star Wars: Episode V - The Empire Strikes Back (1980),"Patriot, The (2000)","Rock, The (1996)",In the Line of Fire (1993)
7,Schindler's List (1993),American Beauty (1999),Saving Private Ryan (1998),Fargo (1996),North by Northwest (1959),American History X (1998),Run Lola Run (Lola rennt) (1998),GoodFellas (1990),Taxi Driver (1976),"Matrix, The (1999)"
8,"Shawshank Redemption, The (1994)",Schindler's List (1993),Saving Private Ryan (1998),"Silence of the Lambs, The (1991)","Close Shave, A (1995)","Sixth Sense, The (1999)","Wrong Trousers, The (1993)","Matrix, The (1999)","Usual Suspects, The (1995)",Casablanca (1942)
9,"Shawshank Redemption, The (1994)",Schindler's List (1993),Roman Holiday (1953),"Sixth Sense, The (1999)",Doctor Zhivago (1965),"Close Shave, A (1995)",It's a Wonderful Life (1946),Rear Window (1954),My Fair Lady (1964),Anne Frank Remembered (1995)
10,"Shawshank Redemption, The (1994)","Silence of the Lambs, The (1991)","Usual Suspects, The (1995)",American History X (1998),American Beauty (1999),Raiders of the Lost Ark (1981),"Christmas Story, A (1983)","Princess Bride, The (1987)","Sixth Sense, The (1999)",Monty Python and the Holy Grail (1974)
11,"Godfather, The (1972)",Citizen Kane (1941),Chinatown (1974),One Flew Over the Cuckoo's Nest (1975),"Silence of the Lambs, The (1991)","Boat, The (Das Boot) (1981)","Christmas Story, A (1983)",Taxi Driver (1976),"Wizard of Oz, The (1939)",Hard-Boiled (Lashou shentan) (1992)
